name,url,price,parcels,store_name
Relógio Timex Expedition TW4B04800WW/N Preto,http://www.timex.com.br/2001269_tw4b04800ww-n-pulso-preto-pulseira-nylon-qz-timex/p,129,1,Timex
Relógio Timex Ironman TW4B04000WW/N Preto,http://www.timex.com.br/2001268_tw4b04000ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,199,1,Timex
Relógio Timex Waterbury TW2P84600WW/N Prata,http://www.timex.com.br/2001242_tw2p84600ww-n-pulso-aco-pulseira-couro-qz-timex/p,169,1,Timex
Timex Ironman 30 Lap TW5M02500WW/N Verde,http://www.timex.com.br/2001402_tw5m02500ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,119,1,Timex
Relógio Timex Expedition TW4B07100WW/N Preto,http://www.timex.com.br/2001312_tw4b07100ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,319.9,1,Timex
Relógio Timex Metropolitan - TWG012600PL/I,http://www.timex.com.br/twg012600pl-i-pulso-preto-pulseira-silicone-nailon-qz-timex/p,599,1,Timex
Relógio Timex Weekender Prata - TW2P89600WW/N,http://www.timex.com.br/tw2p89600ww-n-pulso-aco-pulseira-nylon-qz-timex/p,159,1,Timex
Relógio Timex Intelligent Quartz Cinza - T2P380WW/TN,http://www.timex.com.br/2001142_t2p380ww-tn-pulso-fume-pulseira-couro-crono---timex/p,399,1,Timex
Timex Ironman 30 Lap TW5M02700WW/N Azul,http://www.timex.com.br/2001404_tw5m02700ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,119,1,Timex
Relógio Timex Weekender TW2P97900WW/N Prata,http://www.timex.com.br/2001306_tw2p97900ww-n-pulso-metal-pulseira-couro-qz-timex/p,299.9,1,Timex
Timex Weekender TW2P85300WW/N,http://www.timex.com.br/2001298_tw2p85300ww-n-pulso-metal-pulseira-couro-crono-timex/p,219,1,Timex
Relógio Timex Ironman TW5M05800BD/I Branco,http://www.timex.com.br/2001285_tw5m05800bd-i-pulso-plastico-pulseira-plastica-digital-timex/p,249,1,Timex
Relógio Timex Expedition TW4B04500WW/N Cinza,http://www.timex.com.br/2001281_tw4b04500ww-n-pulso-fume-pulseira-nylon-qz-timex/p,129,1,Timex
Relógio Timex Weekender TW2P78200WW/N Dourado,http://www.timex.com.br/2001262_tw2p78200ww-n-pulso-dourado-pulseira-nylon-qz-timex/p,139,1,Timex
Relógio Timex Ironman TW5M01500WW/N Amarelo,http://www.timex.com.br/2001261_tw5m01500ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,179,1,Timex
Relógio Timex Originals TW2P83200WW/N Preto,http://www.timex.com.br/2001258_tw2p83200ww-n-pulso-preto-pulseira-couro-qz-timex/p,149,1,Timex
Relógio Timex Weekender Preto - T2P494WW/TN,http://www.timex.com.br/-relogio-timex-weekender-preto---t2p494ww-tn/p,269.9,1,Timex
Relógio Timex Expedition T49971WW/TN,http://www.timex.com.br/t49971ww-tn--pulso-plastico-pulseira-plastica-digital/p,299.9,1,Timex
Relógio Timex Heritage TW2P69600WW/N,http://www.timex.com.br/tw2p69600wwn-pulso-dourado-pulseira-couro-tecido-qz--/p,159,1,Timex
Relógio Timex Move x20 TW5K85500/TI Preto,http://www.timex.com.br/tw5k85500-ti-pulso-plastico-pulseira-plastica-digital/p,349.9,1,Timex
Timex Ironman 50 Lap TW5M06100WW/N Branco,http://www.timex.com.br/2001382_tw5m06100ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,199,1,Timex
Relógio Timex Expedition TW4B07200WW/N Camuflado,http://www.timex.com.br/2001314_tw4b07200ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,249,1,Timex
Relógio Timex Ironman TW5M05900BD/I Preto,http://www.timex.com.br/2001286_tw5m05900bd-i-pulso-plastico-pulseira-plastica-digital-timex/p,249,1,Timex
Relógio Timex Weekender TW2P90900WW/N Prata,http://www.timex.com.br/2001279_tw2p90900ww-n-pulso-fume-pulseira-couro-crono-timex/p,149,1,Timex
Relógio Timex Weekender TW2P91600WW/N Dourado,http://www.timex.com.br/2001278_tw2p91600ww-n-pulso-dourado-pulseira-nylon-qz-timex/p,149,1,Timex
Relógio Timex Originals TW2P83300WW/N Preto,http://www.timex.com.br/2001270_tw2p83300ww-n-pulso-preto-pulseira-couro-qz-timex/p,149,1,Timex
Relógio Timex Waterbury TW2P84500WW/N Prata,http://www.timex.com.br/2001266_tw2p84500ww-n-pulso-metal-pulseira-couro-qz-timex/p,349.9,1,Timex
Relógio Timex Ironman TW5M01600WW/N Azul,http://www.timex.com.br/2001264_tw5m01600ww-n-pulso-plastico-pulseira-plastica-digital-timex/p,179,1,Timex
Relógio Timex Masculino T2N338WW/TN,http://www.timex.com.br/2001229_t2n338ww-btn-pulso-paladio-pulseira-couro-qz-m--timex/p,149,1,Timex
Relógio Timex Masculino T2N339WW/TN,http://www.timex.com.br/2001218_t2n339ww-btn-pulso-paladio-pulseira-couro-qz--timex/p,149,1,Timex
Relógio Timex IQ Masculino TW2P60800WW/N,http://www.timex.com.br/2001182_tw2p60800ww-n-pulso-preto-pulseira-preta--crono-timex/p,599.9,1,Timex
Relógio Timex IQ Masculino TW2P60600WW/N,http://www.timex.com.br/2001181_tw2p60600ww-n-pulso-aco-pulseira-aco--crono--timex/p,539.9,1,Timex
Relógio Timex Style T2P142WW/TN Azul,http://www.timex.com.br/2001177_t2p142ww-tn-pulso-aco-pulseira-nylon--qz-timex/p,279.9,1,Timex
Relógio Timex Style Prata - T49962WW/TN,http://www.timex.com.br/2001174_t49962ww-tn-pulso-aco-pulseira-nylon--qz-timex/p,299.9,1,Timex
Relógio Timex Heritage Prata - TW2P77100WW/N,http://www.timex.com.br/tw2p77100ww-n-pulso-aco-pulseira-couro-qz-timex/p,159.9,1,Timex
